YEAR,MONTH,AREA_ID,AREA,DISTRICT_ID,DISTRICT,SITE,store,SITE_DES,LOCATION,PART_NO,PROD_DES,PART_STATUS,CL_BAL, SEL_CASH_PRICE ,PROD_FAMILY,PROD_FAMILY_DES,CAT -01 ,COMMODITY,COM_DES,BRAND_CODE,BRAND_DES, MRP , MOP , Current Discount % ,COMMENTS / DISCOUNT GUIDELINE
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,KA-LW-185A,SINGER WAFFLE MAKER-LW185A,A,1," 10,299.00 ",PF024,KITCHENAPP -SMALL KITCHEN APPLIANCE,,2G193,SINGER KITCHEN APPLIANCES,BR044,SINGER," 10,299 "," 4,120 ", 1 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,KA-PRISMA-1.2,SINGER JUG KETTLE 1.2 L NEW,O,2," 3,099.00 ",PF109,KITCHENAPP-JUG KETTLE,,2G193,SINGER KITCHEN APPLIANCES,BR044,SINGER," 3,099 "," 1,704 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,KA-TXG-DS11A,SINGER AIR FRYER,A,1," 19,999.00 ",PF024,KITCHENAPP -SMALL KITCHEN APPLIANCE,,2G193,SINGER KITCHEN APPLIANCES,BR044,SINGER," 19,999 "," 11,999 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,KN-MG510,KENWOOD MEAT MINCER,L,1," 65,299.00 ",PF024,KITCHENAPP -SMALL KITCHEN APPLIANCE,,2G323,KENWOOD KITCHEN APPLIANCE,BR026,KENWOOD," 65,299 "," 26,120 ", 1 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,DISPLAY,KN-MG510,KENWOOD MEAT MINCER,L,1," 65,299.00 ",PF024,KITCHENAPP -SMALL KITCHEN APPLIANCE,,2G323,KENWOOD KITCHEN APPLIANCE,BR026,KENWOOD," 65,299 "," 26,120 ", 1 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,13035,MONARAGALA  DISTRICT,BON01,SHOP,MEDAGAMA,NORMAL,LF-BUDGET-2WD-EC-S,BUDGET 2 DOOR WARDROBE,L,1," 54,999.00 ",PF189,FURNITURE - MODULER,,2GFS6,MODULAR WARDROBE - FACTORY,BR044,SINGER," 54,999 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,O,1," 93,999.00 ",PF286,FURNITURE-BEDS - SOLID,,2GLS7,SOLID BED - LOC,BR044,SINGER," 93,999 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,CLEARANCE,WFL-JASPER-02,WALL MOUNT METAL DRESSING TABLE,L,1," 15,399.00 ",PF017,FURNITURE - SOLID,,2GC01,SOLID DRT - LOC,BR044,SINGER," 15,399 ", -   , -   , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,WFL-SPM-75X60X7-S,REGULAR MATTRESS (IKEA) 75x60x7,O,1," 54,599.00 ",PF295,FURNITURE-MATTRESS - SPRING,,2GFS9,MATTRESS SPR - LOC,BR044,SINGER," 54,599 "," 16,380 ", 1 , 50% offered for L and O locations Based on the condition go further with 10% portions 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,WFL-SPM-78X75X7-S,78X75X7 STANDARD SPRING MATTRESS,O,1," 74,099.00 ",PF295,FURNITURE-MATTRESS - SPRING,,2GFS9,MATTRESS SPR - LOC,BR044,SINGER," 74,099 "," 22,230 ", 1 , 50% offered for L and O locations Based on the condition go further with 10% portions 
